English,German
African,Afrikaner/in
Albania,Albanien
Albanian,Albaner/in
America,Amerika
American,Amerikaner/in
Argentina,Argentinien
Argentine,Argentinier/in
Asia,Asien
Asian,Asiat/in
Australia,Australien
Australian,Australier/in
Austria,Österreich
Austrian,Österreicher/in
Belgium,Belgien
Belgian,Belgier/in
Bosnia,Bosnien
Bosnian,Bosnier/in
Brazil,Brasilien
Brazilian,Brasilianer/in
Bulgaria,Bulgarien
Bulgarian,Bulgare/Bulgarin
Canada,Kanada
Canadian,Kanadier/in
China,China
Chinese,Chinese/Chinesin
Croatia,Kroatien
Croatian,Kroate/Kroatin
Cyprus,Zypern
Cypriot,Zypriot/in
Czech Republic,die Tschechische Republik
Czech,Tscheche/Tschechin
Denmark,Dänemark
Danish,Däne/Dänin
Egypt,Ägypten
Egyptian,Ägypter/in
England,England
English,Engländer/in
Estonia,Estland
Estonian,Este/Estin
Europe,Europa
European,Europäer/in
Finland,Finnland
Finnish,Finne/Finnin
France,Frankreich
French,Franzose/Französin
Germany,Deutschland
German,Deutscher/Deutsche
Great Britain,Großbritannien
British,Brite/Britin
Greece,Griechenland
Greek,Grieche/Griechin
Hungary,Ungarn
Hungarian,Ungar/in
Iceland,Island
Icelandic,Isländer/in
India,Indien
Indian,Inder/in
Indonesia,Indonesien
Indonesian,Indonesier/in
Ireland,Irland
Irishman,Ire/Irin
Israel,Israel
Israeli,Israeli
Hebrew,Hebräisch
Italy,Italien
Italian,Italiener/in
Japan,Japan
Japanese,Japaner/in
Latvia,Lettland
Latvian,Lette/Lettin
Lithuania,Litauen
Lithuanian,Litauer/in
Luxembourg,Luxemburg
Luxembourger,Luxemburger/in
Macedonia,Mazedonien
Macedonian,Mazedonier/in
Malta,Malta
Maltese,Malteser/in
Mexico,Mexiko
Mexican,Mexikaner/in
Netherlands,die Niederlande
Dutch,Holländer/in
New Zealand,Neuseeland
New Zealander,Neuseeländer/in
Norway,Norwegen
Norwegian,Norweger/in
Poland,Polen
Polish,Pole/Polin
Portugal,Portugal
Portuguese,Portugiese/Portugiesin
Romania,Rumänien
Romanian,Rumäne/Rumänin
Russia,Russland
Russian,Russe/Russin
Scotland,Schottland
Scottish,Schotte/Schottin
Serbia,Serbien
Serbian,Serbe/Serbin
Slovakia,die Slowakei
Slovak,Slowake/Slowakin
Slovenia,Slowenien
Slovene,Slowene/Slowenin
South Africa,Südafrika
South African,Südafrikaner/in
Spain,Spanien
Spanish,Spanier/in
Sweden,Schweden
Swedish,Schwede/in
Switzerland,die Schweiz
Swiss,Schweizer/in
Turkey,die Türkei
Turk,Türke/Türkin
Ukraine,die Ukraine
Ukrainian,Ukrainer/in
United Kingdom,Vereinigtes Königreich
United States,die Vereinigten Staaten
Wales,Wales
Welsh,Waliser/in
